url,name,meta,str,dex,con,int,wis,cha,img,attributes,tidbits,descriptions
https://www.dndbeyond.com/monsters/16895-giant-spider,Giant Spider,"Large Beast, Unaligned",14 (+2),16 (+3),12 (+1),2 (-4),11 (+0),4 (-3),https://www.dndbeyond.com/avatars/thumbnails/30849/299/1000/1000/638064499038216933.png,"Armor Class:14 (natural armor);Hit Points:26 (4d10 + 4);Speed:30 ft., climb 30 ft.","Skills: Stealth +7;Senses: Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 10;Languages: --;Challenge: 1 (200 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Spider Climb.</strong></em> The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.</p>
<p><em><strong>Web Sense.</strong></em> While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.</p>
<p><em><strong>Web Walker.</strong></em> The spider ignores movement restrictions caused by webbing.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+5"" data-rollaction=""Bite"" data-rolltype=""to hit"">+5</span> to hit, reach 5 ft., one creature. <em>Hit:</em> 7 <span data-dicenotation=""1d8+3"" data-rollaction=""Bite"" data-rolldamagetype=""piercing"" data-rolltype=""damage"">(1d8 + 3)</span> piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 <span data-dicenotation=""2d8"" data-rollaction=""Bite"" data-rolldamagetype=""poison"" data-rolltype=""damage"">(2d8)</span> poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/11-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Poisoned"">poisoned</a> for 1 hour, even after regaining hit points, and is <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/9-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Paralyzed"">paralyzed</a> while <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/11-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Poisoned"">poisoned</a> in this way.</p>
<p><em><strong>Web <span data-dicenotation=""1d6"" data-rollaction=""Web"" data-rolltype=""recharge"">(Recharge 5–6)</span>.</strong> Ranged Weapon Attack:</em> <span data-dicenotation=""1d20+5"" data-rollaction=""Web"" data-rolltype=""to hit"">+5</span> to hit, range 30/60 ft., one creature. <em>Hit:</em> The target is <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/13-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Restrained"">restrained</a> by webbing. As an action, the <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/13-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Restrained"">restrained</a> target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).</p>
</div>"
https://www.dndbeyond.com/monsters/16841-dire-wolf,Dire Wolf,"Large Beast, Unaligned",17 (+3),15 (+2),15 (+2),3 (-4),12 (+1),7 (-2),https://www.dndbeyond.com/avatars/thumbnails/16/484/1000/1000/636376300478361995.jpeg,Armor Class:14 (natural armor);Hit Points:37 (5d10 + 10);Speed:50 ft.,"Skills: Perception +3, Stealth +4;Senses: Passive Perception 13;Languages: --;Challenge: 1 (200 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Keen Hearing and Smell.</strong></em> The wolf has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on hearing or smell.</p>
<p><em><strong>Pack Tactics.</strong></em> The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/7-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Incapacitated"">incapacitated</a>.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+5"" data-rollaction=""Bite"" data-rolltype=""to hit"">+5</span> to hit, reach 5 ft., one target. <em>Hit:</em> 10 <span data-dicenotation=""2d6+3"" data-rollaction=""Bite"" data-rolldamagetype=""piercing"" data-rolltype=""damage"">(2d6 + 3)</span> piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/12-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Prone"">prone</a>.</p>
</div>"
https://www.dndbeyond.com/monsters/16816-brown-bear,Brown Bear,"Large Beast, Unaligned",19 (+4),10 (+0),16 (+3),2 (-4),13 (+1),7 (-2),//www.dndbeyond.com/attachments/2/648/beast.jpg,"Armor Class:11 (natural armor);Hit Points:34 (4d10 + 12);Speed:40 ft., climb 30 ft.",Skills: Perception +3;Senses: Passive Perception 13;Languages: --;Challenge: 1 (200 XP);Proficiency Bonus: +2,"<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Keen Smell.</strong></em> The bear has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on smell.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Multiattack.</strong></em> The bear makes two attacks: one with its bite and one with its claws.</p>
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+6"" data-rollaction=""Bite"" data-rolltype=""to hit"">+6</span> to hit, reach 5 ft., one target. <em>Hit:</em> 8 <span data-dicenotation=""1d8+4"" data-rollaction=""Bite"" data-rolldamagetype=""piercing"" data-rolltype=""damage"">(1d8 + 4)</span> piercing damage.</p>
<p><em><strong>Claws.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+6"" data-rollaction=""Claws"" data-rolltype=""to hit"">+6</span> to hit, reach 5 ft., one target. <em>Hit:</em> 11 <span data-dicenotation=""2d6+4"" data-rollaction=""Claws"" data-rolldamagetype=""slashing"" data-rolltype=""damage"">(2d6 + 4)</span> slashing damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16991-rat,Rat,"Tiny Beast, Unaligned",2 (-4),11 (+0),9 (-1),2 (-4),10 (+0),4 (-3),https://www.dndbeyond.com/avatars/thumbnails/16/541/1000/1000/636376335435407571.jpeg,Armor Class:10;Hit Points:1 (1d4 - 1);Speed:20 ft.,"Senses: Darkvision 30 ft.,  Passive Perception 10;Languages: --;Challenge: 0 (10 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Keen Smell.</strong></em> The rat has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on smell.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+0"" data-rollaction=""Bite"" data-rolltype=""to hit"">+0</span> to hit, reach 5 ft., one target. <em>Hit:</em> 1 piercing damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16891-giant-rat,Giant Rat,"Small Beast, Unaligned",7 (-2),15 (+2),11 (+0),2 (-4),10 (+0),4 (-3),https://www.dndbeyond.com/avatars/thumbnails/16/538/1000/1000/636376332197953299.jpeg,Armor Class:12;Hit Points:7 (2d6);Speed:30 ft.,"Senses: Darkvision 60 ft.,  Passive Perception 10;Languages: --;Challenge: 1/8 (25 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Keen Smell.</strong></em> The rat has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on smell.</p>
<p><em><strong>Pack Tactics.</strong></em> The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/7-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Incapacitated"">incapacitated</a>.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+4"" data-rollaction=""Bite"" data-rolltype=""to hit"">+4</span> to hit, reach 5 ft., one target. <em>Hit</em>: 4 <span data-dicenotation=""1d4+2"" data-rollaction=""Bite"" data-rolldamagetype=""piercing"" data-rolltype=""damage"">(1d4 + 2)</span> piercing damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16920-hawk,Hawk,"Tiny Beast, Unaligned",5 (-3),16 (+3),8 (-1),2 (-4),14 (+2),6 (-2),https://www.dndbeyond.com/avatars/thumbnails/9/900/1000/1000/636334288270143064.jpeg,"Armor Class:13;Hit Points:1 (1d4 - 1);Speed:10 ft., fly 60 ft.",Skills: Perception +4;Senses: Passive Perception 14;Languages: --;Challenge: 0 (10 XP);Proficiency Bonus: +2,"<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Keen Sight.</strong></em> The hawk has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on sight.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Talons.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+5"" data-rollaction=""Talons"" data-rolltype=""to hit"">+5</span> to hit, reach 5 ft., one target. <em>Hit:</em> 1 slashing damage.</p>
</div>"
https://www.dndbeyond.com/monsters/17049-warhorse,Warhorse,"Large Beast, Unaligned",18 (+4),12 (+1),13 (+1),2 (-4),12 (+1),7 (-2),//www.dndbeyond.com/attachments/2/648/beast.jpg,Armor Class:11;Hit Points:19 (3d10 + 3);Speed:60 ft.,Senses: Passive Perception 11;Languages: --;Challenge: 1/2 (100 XP);Proficiency Bonus: +2,"<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Trampling Charge.</strong></em> If the horse moves at least 20 feet straight toward a creature and then hits it with a hooves attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/12-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Prone"">prone</a>. If the target is <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/12-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Prone"">prone</a>, the horse can make another attack with its hooves against it as a bonus action.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Hooves.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+6"" data-rollaction=""Hooves"" data-rolltype=""to hit"">+6</span> to hit, reach 5 ft., one target. <em>Hit:</em> 11 <span data-dicenotation=""2d6+4"" data-rollaction=""Hooves"" data-rolldamagetype=""bludgeoning"" data-rolltype=""damage"">(2d6 + 4)</span> bludgeoning damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16997-riding-horse,Riding Horse,"Large Beast, Unaligned",16 (+3),10 (+0),12 (+1),2 (-4),11 (+0),7 (-2),https://www.dndbeyond.com/avatars/thumbnails/9/904/1000/1000/636334288913250513.jpeg,Armor Class:10;Hit Points:13 (2d10 + 2);Speed:60 ft.,Senses: Passive Perception 10;Languages: --;Challenge: 1/4 (50 XP);Proficiency Bonus: +2,"<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Hooves.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+5"" data-rollaction=""Hooves"" data-rolltype=""to hit"">+5</span> to hit, reach 5 ft., one target. <em>Hit:</em> 8 <span data-dicenotation=""2d4+3"" data-rollaction=""Hooves"" data-rolldamagetype=""bludgeoning"" data-rolltype=""damage"">(2d4 + 3)</span> bludgeoning damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16844-draft-horse,Draft Horse,"Large Beast, Unaligned",18 (+4),10 (+0),12 (+1),2 (-4),11 (+0),7 (-2),//www.dndbeyond.com/attachments/2/648/beast.jpg,Armor Class:10;Hit Points:19 (3d10 + 3);Speed:40 ft.,Senses: Passive Perception 10;Languages: --;Challenge: 1/4 (50 XP);Proficiency Bonus: +2,"<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Hooves.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+6"" data-rollaction=""Hooves"" data-rolltype=""to hit"">+6</span> to hit, reach 5 ft., one target. <em>Hit:</em> 9 <span data-dicenotation=""2d4+4"" data-rollaction=""Hooves"" data-rolldamagetype=""bludgeoning"" data-rolltype=""damage"">(2d4 + 4)</span> bludgeoning damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16874-giant-badger,Giant Badger,"Medium Beast, Unaligned",13 (+1),10 (+0),15 (+2),2 (-4),12 (+1),5 (-3),https://www.dndbeyond.com/avatars/thumbnails/16/530/1000/1000/636376327839601860.jpeg,"Armor Class:10;Hit Points:13 (2d8 + 4);Speed:30 ft., burrow 10 ft.","Senses: Darkvision 30 ft.,  Passive Perception 11;Languages: --;Challenge: 1/4 (50 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Keen Smell.</strong></em> The badger has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on smell.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Multiattack.</strong></em> The badger makes two attacks: one with its bite and one with its claws.</p>
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+3"" data-rollaction=""Bite"" data-rolltype=""to hit"">+3</span> to hit, reach 5 ft., one target. <em>Hit:</em> 4 <span data-dicenotation=""1d6+1"" data-rollaction=""Bite"" data-rolldamagetype=""piercing"" data-rolltype=""damage"">(1d6 + 1)</span> piercing damage.</p>
<p><em><strong>Claws.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+3"" data-rollaction=""Claws"" data-rolltype=""to hit"">+3</span> to hit, reach 5 ft., one target. <em>Hit:</em> 6 <span data-dicenotation=""2d4+1"" data-rollaction=""Claws"" data-rolldamagetype=""slashing"" data-rolltype=""damage"">(2d4 + 1)</span> slashing damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16889-giant-owl,Giant Owl,"Large Beast, Neutral",13 (+1),15 (+2),12 (+1),8 (-1),13 (+1),10 (+0),https://www.dndbeyond.com/avatars/thumbnails/16/535/1000/1000/636376331788287090.jpeg,"Armor Class:12;Hit Points:19 (3d10 + 3);Speed:5 ft., fly 60 ft.","Skills: Perception +5, Stealth +4;Senses: Darkvision 120 ft.,  Passive Perception 15;Languages: Giant Owl , understands Common, Elvish, and Sylvan but can’t speak them;Challenge: 1/4 (50 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Flyby.</strong></em> The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.</p>
<p><em><strong>Keen Hearing and Sight.</strong></em> The owl has advantage on Wisdom (<a class=""tooltip-hover skill-tooltip"" data-tooltip-href=""//www.dndbeyond.com/skills/14-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/using-ability-scores#Perception"">Perception</a>) checks that rely on hearing or sight.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Talons.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+3"" data-rollaction=""Talons"" data-rolltype=""to hit"">+3</span> to hit, reach 5 ft., one target. <em>Hit:</em> 8 <span data-dicenotation=""2d6+1"" data-rollaction=""Talons"" data-rolldamagetype=""slashing"" data-rolltype=""damage"">(2d6 + 1)</span> slashing damage.</p>
</div>"
https://www.dndbeyond.com/monsters/16900-giant-wolf-spider,Giant Wolf Spider,"Medium Beast, Unaligned",12 (+1),16 (+3),13 (+1),3 (-4),12 (+1),4 (-3),//www.dndbeyond.com/attachments/2/648/beast.jpg,"Armor Class:13;Hit Points:11 (2d8 + 2);Speed:40 ft., climb 40 ft.","Skills: Perception +3, Stealth +7;Senses: Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 13;Languages: --;Challenge: 1/4 (50 XP);Proficiency Bonus: +2","<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Spider Climb.</strong></em> The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.</p>
<p><em><strong>Web Sense.</strong></em> While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.</p>
<p><em><strong>Web Walker.</strong></em> The spider ignores movement restrictions caused by webbing.</p>
</div>;;;<div class=""mon-stat-block__description-block-content"">
<p><em><strong>Bite.</strong> Melee Weapon Attack:</em> <span data-dicenotation=""1d20+3"" data-rollaction=""Bite"" data-rolltype=""to hit"">+3</span> to hit, reach 5 ft., one creature. <em>Hit:</em> 4 <span data-dicenotation=""1d6+1"" data-rollaction=""Bite"" data-rolldamagetype=""piercing"" data-rolltype=""damage"">(1d6 + 1)</span> piercing damage, and the target must make a DC 11 Constitution saving throw, taking 7 <span data-dicenotation=""2d6"" data-rollaction=""Bite"" data-rolldamagetype=""poison"" data-rolltype=""damage"">(2d6)</span> poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/11-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Poisoned"">poisoned</a> for 1 hour, even after regaining hit points, and is <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/9-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Paralyzed"">paralyzed</a> while <a class=""tooltip-hover condition-tooltip"" data-tooltip-href=""//www.dndbeyond.com/conditions/11-tooltip?disable-webm=1&amp;disable-webm=1"" href=""/compendium/rules/basic-rules/appendix-a-conditions#Poisoned"">poisoned</a> in this way.</p>
</div>"
